season,game_date,home_team,away_team,home_score,away_score,home_win,label,neutral,elo_diff,win_pct_diff,log5_prob,pythagorean_diff,is_home
2021,2021-08-26,WSH,DAL,77,82,0,0,0,-8.888837339120528,0.0,0.5,0.0,1.0
2021,2021-08-27,NY,PHX,64,80,0,0,0,-68.34602488504561,0.0,0.5,0.0,1.0
2021,2021-08-27,SEA,CHI,69,73,0,0,0,75.76063324107781,0.0,0.5,0.0,1.0
2021,2021-08-28,IND,LV,71,87,0,0,0,-166.75154278176024,0.0,0.5,0.0,1.0
2021,2021-08-28,CONN,LA,76,61,1,1,0,142.34585027172875,0.0,0.5,0.0,1.0
2021,2021-08-28,WSH,DAL,76,75,1,1,0,-31.80999021489788,0.0,0.5,0.0,1.0
2021,2021-08-29,SEA,CHI,75,107,0,0,0,48.320492074573394,0.0,0.5,0.0,1.0
2021,2021-08-31,IND,LA,74,72,1,1,0,-37.92168134708891,0.0,0.5,0.0,1.0
2021,2021-08-31,WSH,CONN,75,85,0,0,0,-143.6078517320641,0.0,0.5,0.0,1.0
2021,2021-08-31,MIN,NY,74,66,1,1,0,121.60465393729419,0.0,0.5,0.0,1.0
2021,2021-08-31,PHX,CHI,103,83,1,1,0,8.62090416255728,0.0,0.5,0.0,1.0
2021,2021-09-02,DAL,ATL,72,68,1,1,0,71.80198595978572,0.0,0.5,0.0,1.0
2021,2021-09-02,MIN,LA,66,57,1,1,0,138.26493949276096,0.0,0.5,0.0,1.0
2021,2021-09-02,LV,CHI,90,83,1,1,0,69.58382494906687,0.0,0.5,0.0,1.0
2021,2021-09-02,SEA,NY,85,75,1,1,0,106.72650021132267,0.0,0.5,0.0,1.0
2021,2021-09-04,IND,PHX,65,87,0,0,0,-126.56490299299207,0.0,0.5,0.0,1.0
2021,2021-09-04,MIN,WSH,93,75,1,1,0,133.13026806034304,0.0,0.5,0.0,1.0
2021,2021-09-05,CHI,LV,92,84,1,1,0,-82.45204992068079,0.0,0.5,0.0,1.0
2021,2021-09-05,DAL,ATL,64,69,0,0,0,84.5590141675807,0.0,0.5,0.0,1.0
2021,2021-09-06,IND,PHX,81,86,0,0,0,-142.77932455073756,0.0,0.5,0.0,1.0
2021,2021-09-07,DAL,CONN,56,83,0,0,0,-145.37530498431056,0.0,0.5,0.0,1.0
2021,2021-09-07,SEA,WSH,105,71,1,1,0,113.49557508545604,0.0,0.5,0.0,1.0
2021,2021-09-08,ATL,PHX,75,76,0,0,0,-156.34258442765213,0.0,0.5,0.0,1.0
2021,2021-09-08,LV,MIN,102,81,1,1,0,-0.03219231301795844,0.0,0.5,0.0,1.0
2021,2021-09-09,LA,CONN,57,75,0,0,0,-181.29469862540668,0.0,0.5,0.0,1.0
2021,2021-09-10,WSH,ATL,82,74,1,1,0,40.137386179693976,0.0,0.5,0.0,1.0
